3
13
-190,-50,20,20,255,0,127,-5
140,-50,20,40,255,102,0,-5
-100,-50,20,50,36,49,255,-5
-190,-50,20,20,255,0,127,-5
140,-50,20,40,255,102,0,-5
-100,-50,20,50,36,49,255,-5
-270,-140,60,360,39,37,37,-1
-210,-140,140,60,39,37,37,-1
60,-140,140,60,39,37,37,-1
200,-140,60,360,39,37,37,-1
-210,160,140,60,39,37,37,-1
60,160,140,60,39,37,37,-1
-40,-40,70,20,102,10,62,0
-120,-10,40,30,173,42,10,1
-30,-270,60,20,0,22,135,2
-50,70,100,20,39,37,37,-1
-15,-20,20,20,255,0,127,-1
-10,90,20,40,255,102,0,-1
-10,-250,20,50,36,49,255,-1
